ButterflySpecies,Year,Day,SpringTemp,SummerTemp
Glaucopsyche lygdamus,1931,133,6.85,15.35
Cupido amyntula,1931,143,6.85,15.35
Cupido amyntula,1931,158,6.85,15.35
Glaucopsyche lygdamus,1931,212,6.85,15.35
Cupido amyntula,1933,142,5.4,14.92
Glaucopsyche lygdamus,1933,154,5.4,14.92
Glaucopsyche lygdamus,1933,156,5.4,14.92
Coenonympha tullia,1933,168,5.4,14.92
Coenonympha tullia,1937,186,6.4,15.22
Glaucopsyche lygdamus,1938,138,6.78,15.77
Glaucopsyche lygdamus,1938,141,6.78,15.77
Cupido amyntula,1938,141,6.78,15.77
Cupido amyntula,1938,143,6.78,15.77
Polygonia gracilis,1938,144,6.78,15.77
Coenonympha tullia,1938,146,6.78,15.77
Coenonympha tullia,1938,146,6.78,15.77
Coenonympha tullia,1938,146,6.78,15.77
Euchloe ausonides,1938,147,6.78,15.77
Cupido amyntula,1938,148,6.78,15.77
Euchloe ausonides,1938,148,6.78,15.77
Euchloe ausonides,1940,127,7.7,15.75
Plebejus icarioides,1940,141,7.7,15.75
Plebejus icarioides,1940,141,7.7,15.75
Coenonympha tullia,1940,186,7.7,15.75
Plebejus icarioides,1941,231,8.05,16.39
Papilio zelicaon,1949,190,6.69,14.47
Coenonympha tullia,1950,155,4.68,15.77
Plebejus icarioides,1950,179,4.68,15.77
Plebejus icarioides,1950,238,4.68,15.77
Euchloe ausonides,1951,160,4.89,15.55
Plebejus icarioides,1951,168,4.89,15.55
Euchloe ausonides,1951,170,4.89,15.55
Plebejus icarioides,1951,171,4.89,15.55
Plebejus icarioides,1951,172,4.89,15.55
Plebejus icarioides,1951,174,4.89,15.55
Strymon melinus,1951,207,4.89,15.55
Plebejus icarioides,1952,195,5.67,14.9
Plebejus icarioides,1952,206,5.67,14.9
Coenonympha tullia,1952,209,5.67,14.9
Plebejus icarioides,1952,224,5.67,14.9
Papilio zelicaon,1953,161,6.2,14.75
Plebejus icarioides,1953,173,6.2,14.75
Coenonympha tullia,1953,191,6.2,14.75
Coenonympha tullia,1956,123,5.81,14.89
Coenonympha tullia,1956,128,5.81,14.89
Coenonympha tullia,1956,130,5.81,14.89
Coenonympha tullia,1956,132,5.81,14.89
Coenonympha tullia,1956,134,5.81,14.89
Plebejus icarioides,1962,210,5.18,14.39
Papilio zelicaon,1962,232,5.18,14.39
Cupido amyntula,1966,129,5.95,14.66
Papilio zelicaon,1966,129,5.95,14.66
Plebejus icarioides,1968,218,6.25,14.85
Papilio zelicaon,1971,238,5.36,15.37
Papilio zelicaon,1973,183,6.58,14.43
Papilio zelicaon,1980,201,6.93,14.53
Papilio zelicaon,1989,142,6.2,15.74
Papilio zelicaon,1989,169,6.2,15.74
Papilio zelicaon,1989,169,6.2,15.74
Papilio zelicaon,1989,171,6.2,15.74
Papilio zelicaon,1989,171,6.2,15.74
Papilio zelicaon,1992,157,7.91,16.19
Papilio zelicaon,1992,157,7.91,16.19
Papilio zelicaon,1992,157,7.91,16.19
Papilio zelicaon,1992,157,7.91,16.19
